URLs,subdirectory1,subdirectory2,subdirectory3,subdirectory4
https://www.tradingview.com/chart/BTCUSD/fuuQhaaT-BITCOIN-PRICE-PREDICTION-2020-2021/,chart,BTCUSD,fuuQhaaT-BITCOIN-PRICE-PREDICTION-2020-2021,
https://www.tradingview.com/chart/GBPUSD/DMzLA8Ih-GBPUSD-Long-Flashcard/,chart,GBPUSD,DMzLA8Ih-GBPUSD-Long-Flashcard,
https://www.tradingview.com/chart/GC1!/LrJhfEHh-Gold-Sets-Second-Highest-Monthly-Closing-Price-On-Record/,chart,GC1!,LrJhfEHh-Gold-Sets-Second-Highest-Monthly-Closing-Price-On-Record,
https://www.tradingview.com/chart/GBPUSD/ZAVUtEqM-New-Bullish-Channel-GBP-USD-Buy-1-2370/,chart,GBPUSD,ZAVUtEqM-New-Bullish-Channel-GBP-USD-Buy-1-2370,
https://www.tradingview.com/chart/US30/xaiuyk8c-ridethepig-Quarterly-Updates-in-the-Dow/,chart,US30,xaiuyk8c-ridethepig-Quarterly-Updates-in-the-Dow,
https://www.tradingview.com/chart/XLC/kgPsMFd9-Study-of-Sector-Rotation-During-2020-Market-Crash/,chart,XLC,kgPsMFd9-Study-of-Sector-Rotation-During-2020-Market-Crash,
https://www.tradingview.com/chart/GBPUSD/YGTUeR7b-Why-did-cable-head-higher-yesterday/,chart,GBPUSD,YGTUeR7b-Why-did-cable-head-higher-yesterday,
https://www.tradingview.com/chart/DJI/W2T42FQ7-To-the-infinity-and-beyond/,chart,DJI,W2T42FQ7-To-the-infinity-and-beyond,
https://www.tradingview.com/chart/DEFIPERP/RjdStOhQ-DeFi-Index-COMP-KNC-LEND-MKR-KAVA-LRC-REN-REP-BNT-SNX/,chart,DEFIPERP,RjdStOhQ-DeFi-Index-COMP-KNC-LEND-MKR-KAVA-LRC-REN-REP-BNT-SNX,
https://www.tradingview.com/chart/BTCUSD/2g6DLkmQ-Bitcoin-Volume-Profile-Fixed-Range-Analysis-Seasonality/,chart,BTCUSD,2g6DLkmQ-Bitcoin-Volume-Profile-Fixed-Range-Analysis-Seasonality,
https://www.tradingview.com/chart/NVDA/KC4VJbu6-NVDA-Looking-for-a-Pullback-Buying-Opportunity-350/,chart,NVDA,KC4VJbu6-NVDA-Looking-for-a-Pullback-Buying-Opportunity-350,
https://www.tradingview.com/chart/QQQ/HafPwKrd-QQQ-vs-IWM/,chart,QQQ,HafPwKrd-QQQ-vs-IWM,
https://www.tradingview.com/chart/GOLD/QTLU5UMD-Gold-Short-Term-Forecast/,chart,GOLD,QTLU5UMD-Gold-Short-Term-Forecast,
https://www.tradingview.com/chart/AUDNZD/7XQosYHt-AUD-NZD-approaching-key-support-line/,chart,AUDNZD,7XQosYHt-AUD-NZD-approaching-key-support-line,
https://www.tradingview.com/chart/BLX/lqIxoc89-Bitcoin-is-just-one-big-bullish-pennant/,chart,BLX,lqIxoc89-Bitcoin-is-just-one-big-bullish-pennant,
https://www.tradingview.com/chart/TSLA/wp0UKzte-TSLA-Gaps-Up-Again/,chart,TSLA,wp0UKzte-TSLA-Gaps-Up-Again,
https://www.tradingview.com/chart/AUDJPY/1MLOoJEZ-Potential-AUD-JPY-BUY/,chart,AUDJPY,1MLOoJEZ-Potential-AUD-JPY-BUY,
https://www.tradingview.com/chart/SPX/m6EsSemO-Awesome-Oscillator/,chart,SPX,m6EsSemO-Awesome-Oscillator,
https://www.tradingview.com/chart/HG1!/1MLuxRLR-3-30-Copper-2021/,chart,HG1!,1MLuxRLR-3-30-Copper-2021,
https://www.tradingview.com/chart/SSP/aiVJIWaV-Best-Scripts-of-the-Month-2020-06/,chart,SSP,aiVJIWaV-Best-Scripts-of-the-Month-2020-06,
https://www.tradingview.com/chart/NZDUSD/9UYbFzIh-NZD-USD-STRUCTURE-SHORT-GREAT-RISK-REWARD/,chart,NZDUSD,9UYbFzIh-NZD-USD-STRUCTURE-SHORT-GREAT-RISK-REWARD,
https://www.tradingview.com/chart/NIFTY/akw12MBY-Nifty-50-now-entering-zone-of-critical-resistance/,chart,NIFTY,akw12MBY-Nifty-50-now-entering-zone-of-critical-resistance,
https://www.tradingview.com/chart/ETHUSD/kKUZWuzX-Surviving-The-Market-When-You-re-Paid-In-Crypto/,chart,ETHUSD,kKUZWuzX-Surviving-The-Market-When-You-re-Paid-In-Crypto,
https://www.tradingview.com/chart/VIX/1gniKRfH-Why-VIX-is-still-the-cheapest-bet-I-was-wrong-in-May-Round-2/,chart,VIX,1gniKRfH-Why-VIX-is-still-the-cheapest-bet-I-was-wrong-in-May-Round-2,
https://www.tradingview.com/chart/GBPUSD/9HEMleeg-GBPUSD-BUY-SETUP/,chart,GBPUSD,9HEMleeg-GBPUSD-BUY-SETUP,
https://www.tradingview.com/chart/TSLA/W8UNTYBE-TESLA-simplest-possible-theoretical-TA/,chart,TSLA,W8UNTYBE-TESLA-simplest-possible-theoretical-TA,
https://www.tradingview.com/chart/BTCUSD/n7nUqDui-BTC-Moon-or-Doom-2/,chart,BTCUSD,n7nUqDui-BTC-Moon-or-Doom-2,
https://www.tradingview.com/chart/000001/COLBY6HQ-Shanghai-Composite-BIG-Breakout-in-China-Stocks/,chart,000001,COLBY6HQ-Shanghai-Composite-BIG-Breakout-in-China-Stocks,
https://www.tradingview.com/chart/BTCUSD/vJPo4IB1-BITCOIN-2019-2020-ULTIMATE-PRICE-CORRELATION/,chart,BTCUSD,vJPo4IB1-BITCOIN-2019-2020-ULTIMATE-PRICE-CORRELATION,
